"Name","Difficulty","Is Super?","Is Boss?","Area Level","Base Monster Level","Actual Monster Level","Area","Area ID"
"Bishibosh","nightmare","yes","no",36,36,39,"Cold Plains",3
"Rakanishu","nightmare","yes","no",37,38,40,"Stony Field",4
"Treehead WoodFist","nightmare","yes","no",38,38,41,"Dark Wood",5
"Corpsefire","nightmare","yes","no",36,36,39,"Den of Evil",8
"Coldcrow","nightmare","yes","no",36,37,39,"Cave Level 1",9
"Blood Raven","nightmare","no","yes",36,43,43,"Burial Grounds",17
"Bonebreaker","nightmare","yes","no",37,37,40,"Crypt",18
"The Countess","nightmare","yes","no",42,39,45,"Tower Cellar Level 5",25
"The Smith","nightmare","yes","no",40,42,43,"Barracks",28
"Pitspawn Fouldog","nightmare","yes","no",41,42,44,"Jail Level 2",30
"Bone Ash","nightmare","yes","no",42,44,45,"Cathedral",33
"Andariel","nightmare","no","yes",43,49,49,"Catacombs Level 4",37
"Griswold","nightmare","yes","yes",39,39,42,"Tristram",38
"The Cow King","nightmare","yes","no",64,61,67,"The Secret Cow Level",39
"Beetleburst","nightmare","yes","no",45,45,48,"Far Oasis",43
"Dark Elder","nightmare","yes","no",46,46,49,"Lost City",44
"Radament","nightmare","yes","yes",44,49,52,"Sewers Level 3",49
"Fire Eye","nightmare","yes","no",48,47,51,"Palace Cellar Level 3",54
"Creeping Feature","nightmare","yes","no",44,44,47,"Stony Tomb Level 2",59
"Bloodwitch the Wild","nightmare","yes","no",45,43,48,"Halls of the Dead Level 3",60
"Fangskin","nightmare","yes","no",47,46,50,"Claw Viper Temple Level 2",61
"Coldworm the Burrower","nightmare","yes","no",46,46,49,"Maggot Lair Level 3",64
"Ancient Kaa the Soulless","nightmare","yes","no",49,49,52,"Tal Rasha's Tomb",66
"Ancient Kaa the Soulless","nightmare","yes","no",49,49,52,"Tal Rasha's Tomb",67
"Ancient Kaa the Soulless","nightmare","yes","no",49,49,52,"Tal Rasha's Tomb",68
"Ancient Kaa the Soulless","nightmare","yes","no",49,49,52,"Tal Rasha's Tomb",69
"Ancient Kaa the Soulless","nightmare","yes","no",49,49,52,"Tal Rasha's Tomb",70
"Ancient Kaa the Soulless","nightmare","yes","no",49,49,52,"Tal Rasha's Tomb",71
"Ancient Kaa the Soulless","nightmare","yes","no",49,49,52,"Tal Rasha's Tomb",72
"Duriel","nightmare","no","yes",49,55,55,"Tal Rasha's Chamber",73
"The Summoner","nightmare","no","yes",48,55,55,"Arcane Sanctuary",74
"Stormtree","nightmare","yes","no",50,52,53,"Flayer Jungle",78
"Ismail Vilehand","nightmare","yes","no",54,56,57,"Travincal",83
"Geleb Flamefinger","nightmare","yes","no",54,56,57,"Travincal",83
"Toorc Icefist","nightmare","yes","no",54,56,57,"Travincal",83
"Sszark the Burning","nightmare","yes","no",50,50,53,"Spider Cavern",85
"Witch Doctor Endugu","nightmare","yes","no",51,51,54,"Flayer Dungeon Level 3",91
"Icehawk Riftwing","nightmare","yes","no",52,51,55,"Sewers Level 1",92
"Battlemaid Sarina","nightmare","yes","no",53,53,56,"Ruined Temple",94
"Bremm Sparkfist","nightmare","yes","no",55,56,58,"Durance of Hate Level 3",102
"Wyand Voidbringer","nightmare","yes","no",55,56,58,"Durance of Hate Level 3",102
"Maffer Dragonhand","nightmare","yes","no",55,56,58,"Durance of Hate Level 3",102
"Mephisto","nightmare","no","yes",55,59,59,"Durance of Hate Level 3",102
"Izual","nightmare","no","yes",56,60,60,"Plains of Despair",105
"Hephasto The Armorer","nightmare","yes","no",57,60,60,"River of Flame",107
"Infector of Souls","nightmare","yes","no",58,57,61,"The Chaos Sanctuary",108
"Lord De Seis","nightmare","yes","no",58,58,61,"The Chaos Sanctuary",108
"Grand Vizier of Chaos","nightmare","yes","no",58,58,61,"The Chaos Sanctuary",108
"Diablo","nightmare","no","yes",58,62,62,"The Chaos Sanctuary",108
"Shenk the Overseer","nightmare","yes","no",58,58,61,"Bloody Foothills",110
"Dac Farren","nightmare","yes","no",58,59,61,"Bloody Foothills",110
"Eldritch the Rectifier","nightmare","yes","no",59,58,62,"Frigid Highlands",111
"Eyeback the Unleashed","nightmare","yes","no",59,58,62,"Frigid Highlands",111
"Sharptooth Slayer","nightmare","yes","no",59,61,62,"Frigid Highlands",111
"Thresh Socket","nightmare","yes","no",60,60,63,"Arreat Plateau",112
"Frozenstein","nightmare","yes","no",61,63,64,"Frozen River",114
"Bonesaw Breaker","nightmare","yes","no",61,62,64,"Glacial Trail",115
"Snapchip Shatter","nightmare","yes","no",62,61,65,"Icy Cellar",119
"Talic","nightmare","yes","no",68,68,71,"Arreat Summit",120
"Madawc","nightmare","yes","no",68,68,71,"Arreat Summit",120
"Korlic","nightmare","yes","no",68,68,71,"Arreat Summit",120
"Pindleskin","nightmare","yes","no",63,65,66,"Nihlathak's Temple",121
"Nihlathak","nightmare","yes","yes",64,70,73,"Halls of Vaught",124
"Colenzo the Annihilator","nightmare","yes","no",66,55,69,"Throne of Destruction",131
"Achmel the Cursed","nightmare","yes","no",66,64,69,"Throne of Destruction",131
"Bartuc the Bloody","nightmare","yes","no",66,68,69,"Throne of Destruction",131
"Ventar the Unholy","nightmare","yes","no",66,68,69,"Throne of Destruction",131
"Lister the Tormentor","nightmare","yes","no",66,68,69,"Throne of Destruction",131
"Baal","nightmare","no","yes",66,75,75,"The Worldstone Chamber",132
"Lilith","nightmare","no","yes",75,110,110,"Matron's Den",133
"Duriel","nightmare","no","yes",75,110,110,"Forgotten Sands",134
"Izual","nightmare","no","yes",75,110,110,"Furnace of Pain",135
"Mephisto","nightmare","no","yes",75,110,110,"Tristram",136
"Diablo","nightmare","no","yes",75,110,110,"Tristram",136
"Baal","nightmare","no","yes",75,110,110,"Tristram",136
