"Name","Difficulty","Is Super?","Is Boss?","Area Level","Base Monster Level","Actual Monster Level","Area","Area ID"
"Bishibosh","normal","yes","no",2,2,5,"Cold Plains",3
"Rakanishu","normal","yes","no",4,5,8,"Stony Field",4
"Treehead WoodFist","normal","yes","no",5,5,8,"Dark Wood",5
"Corpsefire","normal","yes","no",1,1,4,"Den of Evil",8
"Coldcrow","normal","yes","no",2,4,7,"Cave Level 1",9
"Blood Raven","normal","no","yes",3,10,10,"Burial Grounds",17
"Bonebreaker","normal","yes","no",3,2,5,"Crypt",18
"The Countess","normal","yes","no",7,8,11,"Tower Cellar Level 5",25
"The Smith","normal","yes","no",9,10,13,"Barracks",28
"Pitspawn Fouldog","normal","yes","no",10,11,14,"Jail Level 2",30
"Bone Ash","normal","yes","no",11,14,17,"Cathedral",33
"Andariel","normal","no","yes",12,12,12,"Catacombs Level 4",37
"Griswold","normal","yes","yes",6,5,8,"Tristram",38
"The Cow King","normal","yes","no",28,28,31,"The Secret Cow Level",39
"Beetleburst","normal","yes","no",16,16,19,"Far Oasis",43
"Dark Elder","normal","yes","no",17,17,20,"Lost City",44
"Radament","normal","yes","yes",14,16,19,"Sewers Level 3",49
"Fire Eye","normal","yes","no",13,18,21,"Palace Cellar Level 3",54
"Creeping Feature","normal","yes","no",12,15,18,"Stony Tomb Level 2",59
"Bloodwitch the Wild","normal","yes","no",13,14,17,"Halls of the Dead Level 3",60
"Fangskin","normal","yes","no",14,18,21,"Claw Viper Temple Level 2",61
"Coldworm the Burrower","normal","yes","no",17,11,14,"Maggot Lair Level 3",64
"Ancient Kaa the Soulless","normal","yes","no",17,20,23,"Tal Rasha's Tomb",66
"Ancient Kaa the Soulless","normal","yes","no",17,20,23,"Tal Rasha's Tomb",67
"Ancient Kaa the Soulless","normal","yes","no",17,20,23,"Tal Rasha's Tomb",68
"Ancient Kaa the Soulless","normal","yes","no",17,20,23,"Tal Rasha's Tomb",69
"Ancient Kaa the Soulless","normal","yes","no",17,20,23,"Tal Rasha's Tomb",70
"Ancient Kaa the Soulless","normal","yes","no",17,20,23,"Tal Rasha's Tomb",71
"Ancient Kaa the Soulless","normal","yes","no",17,20,23,"Tal Rasha's Tomb",72
"Duriel","normal","no","yes",17,22,22,"Tal Rasha's Chamber",73
"The Summoner","normal","no","yes",14,18,18,"Arcane Sanctuary",74
"Stormtree","normal","yes","no",22,23,26,"Flayer Jungle",78
"Ismail Vilehand","normal","yes","no",24,25,28,"Travincal",83
"Geleb Flamefinger","normal","yes","no",24,25,28,"Travincal",83
"Toorc Icefist","normal","yes","no",24,25,28,"Travincal",83
"Sszark the Burning","normal","yes","no",21,22,25,"Spider Cavern",85
"Witch Doctor Endugu","normal","yes","no",22,24,27,"Flayer Dungeon Level 3",91
"Icehawk Riftwing","normal","yes","no",23,22,25,"Sewers Level 1",92
"Battlemaid Sarina","normal","yes","no",23,23,26,"Ruined Temple",94
"Bremm Sparkfist","normal","yes","no",25,25,28,"Durance of Hate Level 3",102
"Wyand Voidbringer","normal","yes","no",25,25,28,"Durance of Hate Level 3",102
"Maffer Dragonhand","normal","yes","no",25,25,28,"Durance of Hate Level 3",102
"Mephisto","normal","no","yes",25,26,26,"Durance of Hate Level 3",102
"Hephasto The Armorer","normal","yes","no",27,25,28,"River of Flame",107
"Infector of Souls","normal","yes","no",28,30,33,"The Chaos Sanctuary",108
"Lord De Seis","normal","yes","no",28,30,33,"The Chaos Sanctuary",108
"Grand Vizier of Chaos","normal","yes","no",28,30,33,"The Chaos Sanctuary",108
"Diablo","normal","no","yes",28,40,40,"The Chaos Sanctuary",108
"Shenk the Overseer","normal","yes","no",24,33,36,"Bloody Foothills",110
"Dac Farren","normal","yes","no",24,34,37,"Bloody Foothills",110
"Eldritch the Rectifier","normal","yes","no",25,31,34,"Frigid Highlands",111
"Eyeback the Unleashed","normal","yes","no",25,32,35,"Frigid Highlands",111
"Sharptooth Slayer","normal","yes","no",25,36,39,"Frigid Highlands",111
"Thresh Socket","normal","yes","no",26,38,41,"Arreat Plateau",112
"Frozenstein","normal","yes","no",29,43,46,"Frozen River",114
"Bonesaw Breaker","normal","yes","no",29,33,36,"Glacial Trail",115
"Snapchip Shatter","normal","yes","no",29,37,40,"Icy Cellar",119
"Talic","normal","yes","no",37,37,40,"Arreat Summit",120
"Madawc","normal","yes","no",37,37,40,"Arreat Summit",120
"Korlic","normal","yes","no",37,37,40,"Arreat Summit",120
"Pindleskin","normal","yes","no",32,42,45,"Nihlathak's Temple",121
"Nihlathak","normal","yes","yes",36,65,68,"Halls of Vaught",124
"Colenzo the Annihilator","normal","yes","no",43,40,43,"Throne of Destruction",131
"Achmel the Cursed","normal","yes","no",43,40,43,"Throne of Destruction",131
"Bartuc the Bloody","normal","yes","no",43,40,43,"Throne of Destruction",131
"Ventar the Unholy","normal","yes","no",43,40,43,"Throne of Destruction",131
"Lister the Tormentor","normal","yes","no",43,55,58,"Throne of Destruction",131
"Baal","normal","no","yes",43,60,60,"The Worldstone Chamber",132
"Lilith","normal","no","yes",50,110,110,"Matron's Den",133
"Duriel","normal","no","yes",50,110,110,"Forgotten Sands",134
"Izual","normal","no","yes",50,110,110,"Furnace of Pain",135
"Mephisto","normal","no","yes",50,110,110,"Tristram",136
"Diablo","normal","no","yes",50,110,110,"Tristram",136
"Baal","normal","no","yes",50,110,110,"Tristram",136
